aggregation_weighting,amounts_per_partner,dataset_name,epoch_count,final_relative_nb_samples,gradient_updates_per_pass_count,is_early_stopping,learning_computation_time_sec,minibatch_count,mpl_nb_epochs_done,mpl_test_score,multi_partner_learning_approach,nb_samples_used,partners_count,samples_split_option,scenario_name,short_scenario_name,single_partner_test_mode,test_data_samples_count,train_data_samples_count,random_state,scenario_id
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,469.7593864351511,10.0,9.0,0.9891999959945679,fedavg,48000.0,3.0,random,scenario_1_repeat_2_2020-06-15_14h09_af1,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,142.358572172001,10.0,7.0,0.9884999990463257,seq-pure,48000.0,3.0,random,scenario_2_repeat_2_2020-06-15_14h16_009,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,166.48950786702335,10.0,8.0,0.9894000291824341,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_2_2020-06-15_14h19_f12,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,2
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,216.98364070244133,10.0,7.0,0.989799976348877,seqavg,48000.0,3.0,random,scenario_4_repeat_2_2020-06-15_14h22_e57,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,3
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,346.49692585878074,10.0,6.0,0.8648999929428101,fedavg,48000.0,3.0,stratified,scenario_5_repeat_2_2020-06-15_14h25_e86,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,4
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,220.24891828373075,10.0,11.0,0.9876000285148621,seq-pure,48000.0,3.0,stratified,scenario_6_repeat_2_2020-06-15_14h31_de2,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,5
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,229.3062339425087,10.0,11.0,0.9883999824523926,seq-with-final-agg,48000.0,3.0,stratified,scenario_7_repeat_2_2020-06-15_14h35_997,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,6
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,423.15675287134945,10.0,13.0,0.9886999726295471,seqavg,48000.0,3.0,stratified,scenario_8_repeat_2_2020-06-15_14h39_cc5,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,1,7
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,3349.236177155748,10.0,29.0,0.7233999967575073,fedavg,40000.0,3.0,random,scenario_9_repeat_2_2020-06-15_14h46_b59,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,8
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,228.54967661574483,10.0,9.0,0.46160000562667847,seq-pure,40000.0,3.0,random,scenario_10_repeat_2_2020-06-15_15h42_651,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,9
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1123.106379924342,10.0,38.0,0.6949999928474426,seq-with-final-agg,40000.0,3.0,random,scenario_11_repeat_2_2020-06-15_15h45_5b7,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,10
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1094.05688688159,10.0,22.0,0.7603999972343445,seqavg,40000.0,3.0,random,scenario_12_repeat_2_2020-06-15_16h04_6e5,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,11
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1955.121818702668,10.0,17.0,0.38749998807907104,fedavg,40000.0,3.0,stratified,scenario_13_repeat_2_2020-06-15_16h22_b1d,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,12
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,128.78498875908554,10.0,5.0,0.21150000393390656,seq-pure,40000.0,3.0,stratified,scenario_14_repeat_2_2020-06-15_16h55_ec2,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,13
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,178.53267152793705,10.0,7.0,0.351500004529953,seq-with-final-agg,40000.0,3.0,stratified,scenario_15_repeat_2_2020-06-15_16h57_80d,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,14
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,221.72384297661483,10.0,5.0,0.10000000149011612,seqavg,40000.0,3.0,stratified,scenario_16_repeat_2_2020-06-15_17h00_faf,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,1,15
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,692.3448627442122,10.0,12.0,0.9896000027656555,fedavg,48000.0,3.0,random,scenario_1_repeat_3_2020-06-15_17h04_0aa,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,145.51933479122818,10.0,7.0,0.9879999756813049,seq-pure,48000.0,3.0,random,scenario_2_repeat_3_2020-06-15_17h16_533,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,225.17538939975202,10.0,7.0,0.9889000058174133,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_3_2020-06-15_17h18_36c,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,2
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,518.7119299191982,10.0,7.0,0.9894999861717224,seqavg,48000.0,3.0,random,scenario_4_repeat_3_2020-06-15_17h22_56b,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,3
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,529.9900655671954,10.0,10.0,0.8837000131607056,fedavg,48000.0,3.0,stratified,scenario_5_repeat_3_2020-06-15_17h30_df4,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,4
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,675.9701556190848,10.0,13.0,0.9864000082015991,seq-pure,48000.0,3.0,stratified,scenario_6_repeat_3_2020-06-15_17h39_fbf,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,5
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,204.30703293532133,10.0,10.0,0.9872000217437744,seq-with-final-agg,48000.0,3.0,stratified,scenario_7_repeat_3_2020-06-15_17h51_55e,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,6
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,351.54961008019745,10.0,12.0,0.9829000234603882,seqavg,48000.0,3.0,stratified,scenario_8_repeat_3_2020-06-15_17h54_867,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,2,7
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,2632.0211421214044,10.0,20.0,0.6955999732017517,fedavg,40000.0,3.0,random,scenario_9_repeat_3_2020-06-15_18h00_10a,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,8
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,864.3895862177014,10.0,19.0,0.5856999754905701,seq-pure,40000.0,3.0,random,scenario_10_repeat_3_2020-06-15_18h44_613,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,9
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1132.2885801680386,10.0,44.0,0.7096999883651733,seq-with-final-agg,40000.0,3.0,random,scenario_11_repeat_3_2020-06-15_18h58_9c0,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,10
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1465.0579973068088,10.0,25.0,0.7495999932289124,seqavg,40000.0,3.0,random,scenario_12_repeat_3_2020-06-15_19h17_0d8,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,11
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1111.248259484768,10.0,10.0,0.3882000148296356,fedavg,40000.0,3.0,stratified,scenario_13_repeat_3_2020-06-15_19h42_d78,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,12
